,날짜,n-gram,UpDown
0,2017-12-27,"['은행채/NNG;신용스프레드/NNG;확대/NNG', '신용스프레드/NNG;하향/NNG;안정/NNG', '이머징채권/NNG;시장/NNG;안정/NNG', '회사채/NNG;스프레드/NNG;축소/NNG', '금융채/NNG;스프레드/NNG;축소/NNG', '부정적/VAX;전망/NNG;우세/NNG', '강하/VA;스프레드/NNG;축소/NNG', '부정적/VAX;안정/NNG;하향/NNG', '고정비/NNG;부담/NNG;증가/NNG', '재무/NNG;안정성/NNG;개선/NNG', '금리/NNG;하향/NNG;안정/NNG', '상향/NNG;등급/NNG;하향/NNG', '하향/NNG;등급/NNG;하향/NNG', '투자/NNG;재무/NNG;부담/NNG', '재무/NNG;부담/NNG;확대/NNG', '재무/NNG;부담/NNG;완화/NNG', '전망/NNG;등급/NNG;하향/NNG', '투자/NNG;차입/NNG;부담/NNG', '비용/NNG;증가/NNG;우려/NNG', '장기물/NNG;공급/NNG;늘/VV', '대외변수/NNG;불확실성/NNG', '신용스프레드/NNG;축소/NNG', '완화/NNG;쉽/VA;않/VX', '크레딧/NNG;긍정적/VAX', '채권시장/NNG;약세/NNG', '불확실성/NNG;확대/NNG', '우려/NNG;부정적/VAX', '수익성/NNG;약화/NNG', '개선/NNG;제한적/VAX', '금리/NNG;상승/NNG', '수요/NNG;확보/NNG', '건설/NNG;안정/NNG', '수주/NNG;확대/NNG', '판매/NNG;부진/NNG', '수주/NNG;부진/NNG', '금리/NNG;인상/NNG']",상승
1,2017-12-26,"['기대/NNG;글로벌/NNG;금리/NNG;상승/NNG', '하락/NNG;예상/NNG;금리/NNG;인상/NNG', '발행/NNG;늘/VV;금리/NNG;상승/NNG', '금리/NNG;인상/NNG;확신/NNG;없/VA', '장기물/NNG;발행비중/NNG;확대/NNG', '국고채/NNG;금리/NNG;상승/NNG', '장기물/NNG;수요/NNG;증가/NNG', '부정적/VAX;영향/NNG;상쇄/NNG', '금리/NNG;하락/NNG;상승/NNG', '국제/NNG;유가/NNG;상승/NNG', '물가/NNG;상승/NNG;압력/NNG', '금리/NNG;상승/NNG;아니/VCN', '금리/NNG;상승/NNG;압력/NNG', '아직/MAG;경기/NNG;회복/NNG', '고용/NNG;개선/NNG;미흡/NNG', '내수/NNG;경기/NNG;부양/NNG', '소비/NNG;지표/NNG;개선/NNG', '금리/NNG;인상/NNG;어렵/VA', '물가/NNG;상승률/NNG;넘/VV', '국채/NNG;발행/NNG;늘/VV', '농축수산물/NNG;하락/NNG', '수요우위/NNG;해소/NNG', '위험자산/NNG;선호/NNG', '금리/NNG;부정적/VAX', '부양/NNG;효과/NNG', '금리/NNG;반대/NNG', '경제/NNG;완화/NNG', '회복/NNG;조짐/NNG', '경기/NNG;과열/NNG', '하락/NNG;효과/NNG', '공급/NNG;확대/NNG', '채권/NNG;증가/NNG', '금리/NNG;오르/VV', '어렵/VA;위험/NNG', '금리/NNG;어렵/VA', '폐쇄/NNG;막/VV']",상승
2,2017-12-20,"['국고채/NNG;금리/NNG;급등/NNG', '원금/NNG;상환/NNG;부담/NNG', '금리/NNG;매력/NNG;높/VA', '상환/NNG;부담/NNG;낮/VV', '수요/NNG;많/VA;않/VX', '수익성/NNG;부정적/VAX', '투자심리/NNG;위축/NNG', '금리/NNG;인상/NNG', '금리/NNG;하락/NNG', '금리/NNG;상승/NNG', '손실/NNG;위험/NNG', '자본/NNG;확충/NNG', '예상/NNG;많/VA', '대출/NNG;늘/VV']",상승
3,2017-12-20,"['금리/NNG;인상/NNG;반대/NNG', '희박/NNG;금리/NNG;인상/NNG', '아직/MAG;경기/NNG;회복/NNG', '예상/NNG;금리/NNG;인상/NNG', '어렵/VA;물가/NNG;안정/NNG', '성장/NNG;물가/NNG;낮/VA', '경제/NNG;완화/NNG', '회복/NNG;조짐/NNG', '경기/NNG;과열/NNG', '요금/NNG;인하/NNG', '어렵/VA;위험/NNG']",상승
4,2017-12-18,"['크레딧/NNG;시장/NNG;스프레드/NNG;축소/NNG', '전망/NNG;상향/NNG;전망/NNG;하향/NNG', '하향/NNG;등급/NNG;전망/NNG;하향/NNG', '전망/NNG;하향/NNG;전망/NNG;하향/NNG', '신용등급/NNG;전망/NNG;긍정적/VAX', '신용등급/NNG;전망/NNG;부정적/VAX', 'fed/NNG;불확실성/NNG;해소/NNG', '크레딧/NNG;시장/NNG;강세/NNG', '재무/NNG;안정성/NNG;개선/NNG', '유동성/NNG;위험/NNG;완화/NNG', '재무/NNG;융통성/NNG;저하/NNG', '투자/NNG;매력/NNG;개선/NNG', '투자/NNG;수요/NNG;개선/NNG', '금리/NNG;인상/NNG;반대/NNG', '상향/NNG;등급/NNG;하향/NNG', '하향/NNG;전망/NNG;상향/NNG', '개선/NNG;경기/NNG;회복/NNG', '재무/NNG;부담/NNG;해소/NNG', '전망/NNG;등급/NNG;상향/NNG', '상향/NNG;등급/NNG;상향/NNG', '상향/NNG;전망/NNG;상향/NNG', '투자/NNG;부담/NNG;감소/NNG', '재무/NNG;부담/NNG;개선/NNG', '예상/NNG;등급/NNG;하향/NNG', '하향/NNG;등급/NNG;하향/NNG', '악화/NNG;재무/NNG;부담/NNG', '재무/NNG;부담/NNG;증가/NNG', '수요/NNG;예상/NNG;강하/VA', '상향/NNG;기대/NNG;높/VA', 'fed/NNG;비둘기/NNG', '재무구조/NNG;개선/NNG', '수익구조/NNG;개선/NNG', '현금흐름/NNG;개선/NNG', '환경/NNG;우호적/VAX', '환경/NNG;긍정적/VAX', '환경/NNG;부정적/VAX', '지연/NNG;우호적/VAX', '개선/NNG;제한적/VAX', '수익성/NNG;개선/NNG', '고정비/NNG;부담/NNG', '안정성/NNG;저하/NNG', '전망/NNG;강세/NNG', '투자/NNG;위험/NNG', '산업/NNG;위험/NNG', '하락/NNG;상승/NNG', '수요/NNG;증가/NNG', '마진/NNG;개선/NNG', '수주/NNG;감소/NNG', '실적/NNG;저하/NNG', '하방/NNG;압력/NNG', '여력/NNG;약화/NNG', '상향/NNG;하향/NNG', '개선/NNG;추세/NNG', '매출/NNG;확대/NNG', '전망/NNG;개선/NNG', '자금/NNG;확보/NNG', '자본/NNG;확충/NNG', '개선/NNG;지연/NNG', '이익/NNG;감소/NNG', '실적/NNG;방어/NNG', '실적/NNG;하락/NNG', '실적/NNG;부진/NNG', '적자/NNG;확대/NNG', '상향/NNG;늘/VV']",상승
5,2017-12-15,"['fed/NNG;ff/NNG;목표/NNG;금리/NNG;인상/NNG', '금리/NNG;인상/NNG;보유자산/NNG;축소/NNG', '통화정책/NNG;결정/NNG;금리/NNG;인상/NNG', '금리/NNG;인상/NNG;전망/NNG;인상/NNG', '물가/NNG;경로/NNG;불확실성/NNG', '기대/NNG;인플레이션/NNG;낮/VA', 'fed/NNG;금리/NNG;인상/NNG', '경제/NNG;활동/NNG;견조/NNG', '금리/NNG;인상/NNG;반대/NNG', '지출/NNG;완만/NNG;증가/NNG', '전망/NNG;유지/NNG;성장/NNG', '인플레이션/NNG;불확실성/NNG', '불확실성/NNG;확대/NNG', '고용시장/NNG;개선/NNG', 'fed/NNG;성장/NNG', '전망/NNG;상향/NNG', '견조/NNG;성장/NNG', '투자/NNG;개선/NNG', '기대/NNG;확대/NNG']",상승
6,2017-12-15,"['fed/NNG;시장/NNG;예상/NNG;금리/NNG;인상/NNG', '실업률/NNG;하락/NNG;물가/NNG;상승/NNG', 'fed/NNG;정책/NNG;불확실성/NNG', '경제/NNG;성장률/NNG;상향/NNG', 'fed/NNG;금리/NNG;인상/NNG', 'fed/NNG;불확실성/NNG;높/VA', '둔화/NNG;주가/NNG;하락/NNG', '하락/NNG;경기/NNG;둔화/NNG', '완만/NNG;속도/NNG;상승/NNG', '금리/NNG;상단/NNG;제약/NNG', '완화/NNG;금리/NNG;인상/NNG', '물가/NNG;목표/NNG;하회/NNG', '물가/NNG;예상/NNG;오르/VV', '미/NNG;금리/NNG;하락/NNG', '낮/VA;인플레이션/NNG;낮/VA', '예상/NNG;오르/VV;못하/VX', '예상/NNG;벗어나/VV;않/VX', '경기/NNG;둔화/NNG;없/VA', '금리/NNG;낮/VV;않/VX', '채권시장/NNG;인상/NNG', '저물가/NNG;저성장/NNG', '고용시장/NNG;호조/NNG', 'gdp/NNG;상향/NNG', '상승률/NNG;아니/VCN', '정책/NNG;우호적/VAX', 'fed/NNG;완화/NNG', '물가/NNG;하향/NNG', '완화정책/NNG;줄/VV', '경제/NNG;둔화/NNG', '경제/NNG;침체/NNG', '실업률/NNG;낮/VV', '하락/NNG;없/VA', '완화/NNG;줄/VV', '물가/NNG;낮/VA', '매파/NNG;늘/VV']",상승
7,2017-12-14,"['fed/NNG;금리/NNG;인상/NNG;가능성/NNG;작/VA', '금리/NNG;인상/NNG;가능성/NNG;작/VA;않/VX', 'gdp/NNG;성장률/NNG;전망/NNG;상향/NNG', 'fed/NNG;통화정책/NNG;불확실성/NNG', '통화정책/NNG;불확실성/NNG;확대/NNG', '통화정책/NNG;불확실성/NNG;우려/NNG', '양호/NNG;경기/NNG;모멘텀/NNG', '우려/NNG;일시적/VAX']",상승
8,2017-12-14,"['금리/NNG;인상/NNG;fed/NNG;금리/NNG;인상/NNG', '금리/NNG;인상/NNG;반영/NNG;금리/NNG;인상/NNG', '금리/NNG;인상/NNG;발표/NNG;하락/NNG', '이미/MAG;시장/NNG;금리/NNG;인상/NNG', '인상/NNG;장기/NNG;금리/NNG;인상/NNG', '금리/NNG;인상/NNG;속도/NNG;둔화/NNG', 'fed/NNG;경기/NNG;긍정적/VAX', '일시적/VAX;금리/NNG;하락/NNG', '인플레이션/NNG;기대/NNG;꺾/VV', '경제/NNG;전망/NNG;상향/NNG', '확실/NNG;금리/NNG;인상/NNG', '금리/NNG;상방/NNG;압력/NNG', '어떻/VA;금리/NNG;인상/NNG', '기대/NNG;꺾/VV;않/VX', '판매가격/NNG;견조/NNG', '금리/NNG;마이너스/NNG', '실업률/NNG;하향/NNG', '정책/NNG;인상/NNG', '견조/NNG;상승/NNG', '금리/NNG;상승/NNG']",상승
9,2017-12-13,"['투자/NNG;확대/NNG;차입/NNG;부담/NNG', '단기물/NNG;스프레드/NNG;축소/NNG', '특수채/NNG;스프레드/NNG;축소/NNG', '부정적/VAX;영향/NNG;제한적/VAX', '채권/NNG;발행/NNG;제한적/VAX', '강하/VA;스프레드/NNG;축소/NNG', '긍정적/VAX;안정/NNG;상향/NNG', '부정적/VAX;등급/NNG;하향/NNG', '대외/NNG;신인도/NNG;저하/NNG', '상향/NNG;등급/NNG;상향/NNG', '매출/NNG;비중/NNG;확대/NNG', '차입/NNG;부담/NNG;완화/NNG', '하향/NNG;등급/NNG;하향/NNG', '장단기스프레드/NNG;축소/NNG', '영업현금흐름/NNG;개선/NNG', '불확실성/NNG;감소/NNG', '수익구조/NNG;개선/NNG', '제품믹스/NNG;개선/NNG', '부정적/VAX;안정/NNG', '안정/NNG;긍정적/VAX', '은행/NNG;위험/NNG', '수요/NNG;확보/NNG', '금리/NNG;하단/NNG', '건설/NNG;강세/NNG', '전망/NNG;상향/NNG', '업황/NNG;호조/NNG']",상승
10,2017-12-08,"['금리/NNG;인하/NNG;조치/NNG;금리/NNG;인하/NNG', '금리/NNG;fed/NNG;경계/NNG;상승/NNG', '발행/NNG;늘/VV;금리/NNG;상승/NNG', '금리/NNG;인하/NNG;속도/NNG;늦/VV', '지표/NNG;연방정부/NNG;폐쇄/NNG', '국고채/NNG;상승/NNG;하락/NNG', '금리/NNG;역사적/VAX;최저/NNG', '물가/NNG;상승률/NNG;안정/NNG', '안정/NNG;금리/NNG;인상/NNG', '금리/NNG;인상/NNG;상승/NNG', '금리/NNG;무역/NNG;적자/NNG', '무역/NNG;적자/NNG;확대/NNG', '채권/NNG;금리/NNG;하락/NNG', '인상/NNG;인하/NNG;인상/NNG', '변동성/NNG;점차/MAG;크/VV', '금리/NNG;인하/NNG;끝/NNG', '국채/NNG;발행/NNG;늘/VV', '폐쇄/NNG;불확실성/NNG', '경기/NNG;부양/NNG', '부양/NNG;효과/NNG', '경기/NNG;개선/NNG', '개선/NNG;견실/NNG', '금리/NNG;급등/NNG', '수출/NNG;증가/NNG', '소비/NNG;개선/NNG', '투자/NNG;둔화/NNG', '요금/NNG;인하/NNG', '물가/NNG;하락/NNG', '하락/NNG;효과/NNG', '최저/NNG;인하/NNG']",상승
11,2017-12-07,"['대외/NNG;fed/NNG;금리/NNG;인상/NNG', '금리/NNG;인하/NNG;기대/NNG;약화/NNG', '금리/NNG;인하/NNG;금리/NNG;인하/NNG', '금융시장/NNG;변동성/NNG;확대/NNG', '통화정책/NNG;금리/NNG;인하/NNG', '금리/NNG;인하/NNG;안정/NNG', '내수/NNG;소비/NNG;확대/NNG', '재정/NNG;적자/NNG;축소/NNG', '통화정책/NNG;우호적/VAX', '대외/NNG;불확실성/NNG', '불확실성/NNG;감소/NNG', '위험자산/NNG;선호/NNG', '경제/NNG;성장/NNG', '물가/NNG;안정/NNG', '경제/NNG;개선/NNG', '경기/NNG;부양/NNG', '원화/NNG;강세/NNG', '기대/NNG;밑돌/VV']",상승
12,2017-12-06,"['채권시장/NNG;외국인/NNG;자금/NNG;이탈/NNG;우려/NNG', 'fed/NNG;금리/NNG;인상/NNG;사이클/NNG;종료/NNG', '금리/NNG;인상/NNG;fed/NNG;금리/NNG;인상/NNG', '금리/NNG;인상/NNG;사이클/NNG;금리/NNG;인상/NNG', '국채/NNG;금리/NNG;국채/NNG;금리/NNG;상승/NNG', '금리/NNG;인상/NNG;가능성/NNG;그리/MAG;높/VA', '국고채/NNG;금리/NNG;상승/NNG;제한적/VAX', '단기/NNG;금리/NNG;상승/NNG;제한적/VAX', '금리/NNG;fed/NNG;금리/NNG;인상/NNG', '금리/NNG;인상기/NNG;금리/NNG;인상/NNG', '금리/NNG;단기/NNG;금리/NNG;상승/NNG', '단기/NNG;시장/NNG;금리/NNG;상승/NNG', '국채/NNG;금리/NNG;상승/NNG;제한/NNG', '단기/NNG;국채/NNG;금리/NNG;상승/NNG', '인상/NNG;금리/NNG;인상/NNG;그치/VV', '금리/NNG;인상/NNG;쉽/VA;않/VX', '인플레이션/NNG;목표/NNG;하회/NNG', '인플레이션/NNG;목표/NNG;상회/NNG', '핵심/NNG;인플레이션/NNG;상승/NNG', '금리/NNG;스프레드/NNG;확대/NNG', '선진국/NNG;금리/NNG;인상/NNG', '대내외/NNG;불확실성/NNG;높/VA', '노동/NNG;생산성/NNG;둔화/NNG', '유로존/NNG;금리/NNG;인상/NNG', '소비/NNG;투자/NNG;활성화/NNG', '단기물/NNG;수요/NNG;위축/NNG', '예상/NNG;금리/NNG;인상/NNG', '금리/NNG;상승/NNG;억제/NNG', '외자/NNG;이탈/NNG;위험/NNG', '미/NNG;금리갭/NNG;축소/NNG', '가계/NNG;부채/NNG;부담/NNG', '완만/NNG;금리/NNG;인상/NNG', '금리/NNG;스프레드/NNG;넘/VV', '금리/NNG;상승/NNG;압박/NNG', '단기/NNG;금리/NNG;하회/NNG', '소비/NNG;투자/NNG;부진/NNG', '소비/NNG;투자/NNG;확대/NNG', '회복/NNG;속도/NNG;높/VA', '높/VA;금리/NNG;인상/NNG', '인상/NNG;확률/NNG;넘/VV', '스왑레이트/NNG;마이너스/NNG', '투자/NNG;매력/NNG;작/VA', '아웃풋갭/NNG;마이너스/NNG', '아웃풋갭/NNG;플러스/NNG', '노동시장/NNG;회복/NNG', '고용시장/NNG;회복/NNG', '펀더멘털/NNG;개선/NNG', '위험/NNG;제한적/VAX', '부동산/NNG;충격/NNG', '플러스/NNG;전환/NNG', '위축/NNG;제한적/VAX', '금리/NNG;하락/NNG', '위험/NNG;우려/NNG', '상회/NNG;추세/NNG', '고용/NNG;정체/NNG', '고용/NNG;둔화/NNG', '신용/NNG;위축/NNG', '위축/NNG;우려/NNG', '신용/NNG;둔화/NNG', '우려/NNG;약화/NNG', '마진/NNG;상승/NNG', '상쇄/NNG;효과/NNG', '수출/NNG;양호/NNG', '장기물/NNG;높/VA', '인상/NNG;어렵/VA', '어렵/VA;추세/NNG']",상승
